"gene_symbol","hgnc_id","gene_url","disease_label","mondo_id","disease_url","mode_of_inheritance","dosage_haploinsufficiency_assertion","dosage_triplosensitivity_assertion","dosage_report","dosage_group","gene_disease_validity_assertion_classifications","gene_disease_validity_assertion_reports","gene_disease_validity_gceps","actionability_assertion_classifications","actionability_assertion_reports","actionability_groups"
"ABCA3","HGNC:33","https://search.clinicalgenome.org/kb/genes/HGNC:33","interstitial lung disease due to ABCA3 deficiency","MONDO:0012582","https://search.clinicalgenome.org/kb/conditions/MONDO:0012582","Autosomal recessive inheritance","","","","","definitive evidence (09/17/2024)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f3e2d402-69a2-496f-af67-ba3aae132eab-2024-09-17T160000.000Z","Interstitial Lung Disease","","",""
"ABCA4","HGNC:34","https://search.clinicalgenome.org/kb/genes/HGNC:34","age related macular degeneration 2","MONDO:0007932","https://search.clinicalgenome.org/kb/conditions/MONDO:0007932","Autosomal dominant inheritance","","","","","disputing (03/06/2025)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3f249e6f-9a1c-4c82-893b-dfaa327cc06b-2025-03-06T170000.000Z","Retina","","",""
"ABCA4","HGNC:34","https://search.clinicalgenome.org/kb/genes/HGNC:34","ABCA4-related retinopathy","MONDO:0800406","https://search.clinicalgenome.org/kb/conditions/MONDO:0800406","Autosomal recessive inheritance","","","","","definitive evidence (10/06/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_38729563-bf36-48ae-929e-fa69a225de39-2022-10-06T160000.000Z","Retina","","",""
"ABCB11","HGNC:42","https://search.clinicalgenome.org/kb/genes/HGNC:42","progressive familial intrahepatic cholestasis type 2","MONDO:0011156","https://search.clinicalgenome.org/kb/conditions/MONDO:0011156","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (07/08/2020)","0 - No Evidence for Triplosensitivity (07/08/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:42","Dosage Working Group","","","","","",""
"ABCB4","HGNC:45","https://search.clinicalgenome.org/kb/genes/HGNC:45","progressive familial intrahepatic cholestasis type 3","MONDO:0011214","https://search.clinicalgenome.org/kb/conditions/MONDO:0011214","Autosomal recessive inheritance","3 - Sufficient Evidence for Haploinsufficiency (04/16/2024)","0 - No Evidence for Triplosensitivity (04/16/2024)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:45","Dosage Working Group","definitive evidence (11/23/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_009134d7-b79c-4a90-9bae-c1f302439258-2022-11-23T170000.000Z","General Gene Curation","","",""
"ABCB4","HGNC:45","https://search.clinicalgenome.org/kb/genes/HGNC:45","gallbladder disease 1","MONDO:0010939","https://search.clinicalgenome.org/kb/conditions/MONDO:0010939","N/A","3 - Sufficient Evidence for Haploinsufficiency (04/16/2024)","0 - No Evidence for Triplosensitivity (04/16/2024)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:45","Dosage Working Group","","","","","",""
"ABCB6","HGNC:47","https://search.clinicalgenome.org/kb/genes/HGNC:47","dyschromatosis universalis hereditaria 3","MONDO:0014169","https://search.clinicalgenome.org/kb/conditions/MONDO:0014169","Autosomal dominant inheritance","","","","","moderate evidence (04/26/2024)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_93bbbc0a-5f6f-4d80-b560-3265d7b89ed3-2024-04-26T180000.000Z","General Inborn Errors of Metabolism","","",""
"ABCB6","HGNC:47","https://search.clinicalgenome.org/kb/genes/HGNC:47","microphthalmia, isolated, with coloboma 7","MONDO:0013783","https://search.clinicalgenome.org/kb/conditions/MONDO:0013783","Autosomal dominant inheritance","","","","","limited evidence (04/26/2024)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_45ec3fba-48fd-4bf4-b865-2c2d7216e8eb-2024-04-26T180000.000Z","General Inborn Errors of Metabolism","","",""
"ABCB7","HGNC:48","https://search.clinicalgenome.org/kb/genes/HGNC:48","mitochondrial disease","MONDO:0044970","https://search.clinicalgenome.org/kb/conditions/MONDO:0044970","X-linked inheritance","","","","","moderate evidence (09/28/2023)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f3ff096d-abfb-47df-8ac1-c942a98828b0-2023-09-28T160000.000Z","Mitochondrial Diseases","","",""
"ABCC4","HGNC:55","https://search.clinicalgenome.org/kb/genes/HGNC:55","qualitative platelet defect","MONDO:0001197","https://search.clinicalgenome.org/kb/conditions/MONDO:0001197","Autosomal recessive inheritance","","","","","moderate evidence (06/03/2024)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2828abac-5b4a-4dad-a703-10c0daf35dbd-2024-06-03T160000.000Z","Hemostasis Thrombosis","","",""
"ABCC8","HGNC:59","https://search.clinicalgenome.org/kb/genes/HGNC:59","monogenic diabetes","MONDO:0015967","https://search.clinicalgenome.org/kb/conditions/MONDO:0015967","Semidominant inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (02/24/2012)","0 - No Evidence for Triplosensitivity (02/24/2012)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:59","Dosage Working Group","definitive evidence (07/24/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_33c0dfa5-c6ea-42fd-8118-be6ff97beb3e-2022-07-24T160000.000Z","Monogenic Diabetes","","",""
"ABCC8","HGNC:59","https://search.clinicalgenome.org/kb/genes/HGNC:59","pulmonary arterial hypertension","MONDO:0015924","https://search.clinicalgenome.org/kb/conditions/MONDO:0015924","Autosomal dominant inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (02/24/2012)","0 - No Evidence for Triplosensitivity (02/24/2012)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:59","Dosage Working Group","moderate evidence (03/12/2025)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_14b1739d-8890-4927-8efb-e909f48bad5a-2025-03-12T160000.000Z","Pulmonary Hypertension","","",""
"ABCC8","HGNC:59","https://search.clinicalgenome.org/kb/genes/HGNC:59","hyperinsulinemic hypoglycemia, familial, 1","MONDO:0009734","https://search.clinicalgenome.org/kb/conditions/MONDO:0009734","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (02/24/2012)","0 - No Evidence for Triplosensitivity (02/24/2012)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:59","Dosage Working Group","","","","","",""
"ABCC9","HGNC:60","https://search.clinicalgenome.org/kb/genes/HGNC:60","dilated cardiomyopathy","MONDO:0005021","https://search.clinicalgenome.org/kb/conditions/MONDO:0005021","Autosomal dominant inheritance","","","","","limited evidence (11/15/2024)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8be22ebc-f0f5-4de5-9c2a-382ebd02c533-2024-11-15T170000.000Z","Dilated Cardiomyopathy","","",""
"ABCC9","HGNC:60","https://search.clinicalgenome.org/kb/genes/HGNC:60","hypertrichotic osteochondrodysplasia Cantu type","MONDO:0009406","https://search.clinicalgenome.org/kb/conditions/MONDO:0009406","Autosomal dominant inheritance","","","","","definitive evidence (02/21/2025)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_53f8043c-d672-4dfd-a1b7-c5fd6e1cdcae-2025-02-21T170000.000Z","Syndromic Disorders","","",""
"ABCD1","HGNC:61","https://search.clinicalgenome.org/kb/genes/HGNC:61","adrenoleukodystrophy","MONDO:0018544","https://search.clinicalgenome.org/kb/conditions/MONDO:0018544","X-linked inheritance","3 - Sufficient Evidence for Haploinsufficiency (12/02/2020)","0 - No Evidence for Triplosensitivity (12/02/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:61","Dosage Working Group","definitive evidence (12/18/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_815e0f84-b530-4fd2-81a9-02e02bf352ee-2020-12-18T050000.000Z","Peroxisomal Disorders","Strong Actionability (12/01/2023) | Strong Actionability (12/01/2023)","https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC117 | https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC117","Adult Actionability Working Group | Pediatric Actionability Working Group"
"ABCD1","HGNC:61","https://search.clinicalgenome.org/kb/genes/HGNC:61","X-linked cerebral adrenoleukodystrophy","MONDO:0010247","https://search.clinicalgenome.org/kb/conditions/MONDO:0010247","N/A","3 - Sufficient Evidence for Haploinsufficiency (12/02/2020)","0 - No Evidence for Triplosensitivity (12/02/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:61","Dosage Working Group","","","","Strong Actionability (12/01/2023) | Strong Actionability (12/01/2023)","https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC117 | https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC117","Adult Actionability Working Group | Pediatric Actionability Working Group"
"ABCD1","HGNC:61","https://search.clinicalgenome.org/kb/genes/HGNC:61","adrenomyeloneuropathy","MONDO:0015339","https://search.clinicalgenome.org/kb/conditions/MONDO:0015339","N/A","3 - Sufficient Evidence for Haploinsufficiency (12/02/2020)","0 - No Evidence for Triplosensitivity (12/02/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:61","Dosage Working Group","","","","Strong Actionability (12/01/2023)","https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC117","Pediatric Actionability Working Group"
"ABCD1","HGNC:61","https://search.clinicalgenome.org/kb/genes/HGNC:61","isolated adrenal insufficiency","MONDO:0100315","https://search.clinicalgenome.org/kb/conditions/MONDO:0100315","N/A","3 - Sufficient Evidence for Haploinsufficiency (12/02/2020)","0 - No Evidence for Triplosensitivity (12/02/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:61","Dosage Working Group","","","","Strong Actionability (12/01/2023)","https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC117","Pediatric Actionability Working Group"
"ABCD3","HGNC:67","https://search.clinicalgenome.org/kb/genes/HGNC:67","congenital bile acid synthesis defect 5","MONDO:0014564","https://search.clinicalgenome.org/kb/conditions/MONDO:0014564","Autosomal recessive inheritance","","","","","limited evidence (07/08/2025)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f8d82e6f-8ee8-4944-898b-165916c13cac-2025-07-08T160000.000Z","Peroxisomal Disorders","","",""
"ABCD4","HGNC:68","https://search.clinicalgenome.org/kb/genes/HGNC:68","methylmalonic acidemia with homocystinuria, type cblJ","MONDO:0013925","https://search.clinicalgenome.org/kb/conditions/MONDO:0013925","Autosomal recessive inheritance","","","","","moderate evidence (12/22/2023)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_902c9288-f6bd-4068-9a5f-652b49583d93-2023-12-22T190000.000Z","General Inborn Errors of Metabolism","","",""
"ABCG5","HGNC:13886","https://search.clinicalgenome.org/kb/genes/HGNC:13886","sitosterolemia","MONDO:0008863","https://search.clinicalgenome.org/kb/conditions/MONDO:0008863","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (09/29/2025)","0 - No Evidence for Triplosensitivity (09/29/2025)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13886","Dosage Working Group","definitive evidence (07/10/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c52c7403-8975-4a3f-8796-a966e977f708-2020-07-10T160000.000Z","Hemostasis Thrombosis","","",""
"ABCG5","HGNC:13886","https://search.clinicalgenome.org/kb/genes/HGNC:13886","sitosterolemia 1","MONDO:0020747","https://search.clinicalgenome.org/kb/conditions/MONDO:0020747","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (09/29/2025)","0 - No Evidence for Triplosensitivity (09/29/2025)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13886","Dosage Working Group","","","","","",""
"ABCG8","HGNC:13887","https://search.clinicalgenome.org/kb/genes/HGNC:13887","sitosterolemia","MONDO:0008863","https://search.clinicalgenome.org/kb/conditions/MONDO:0008863","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (02/03/2025)","0 - No Evidence for Triplosensitivity (02/03/2025)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13887","Dosage Working Group","definitive evidence (07/14/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_af59edc2-1148-4dca-b804-192639017b65-2020-07-14T202806.911Z","Hemostasis Thrombosis","","",""
"ABHD12","HGNC:15868","https://search.clinicalgenome.org/kb/genes/HGNC:15868","PHARC syndrome","MONDO:0012984","https://search.clinicalgenome.org/kb/conditions/MONDO:0012984","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (07/18/2025)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:15868","Dosage Working Group","definitive evidence (06/26/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ccd68c20-2024-4239-be51-26697e19a6b4-2018-06-26T160000.000Z","Hearing Loss","","",""
"ABHD5","HGNC:21396","https://search.clinicalgenome.org/kb/genes/HGNC:21396","Dorfman-Chanarin disease","MONDO:0010155","https://search.clinicalgenome.org/kb/conditions/MONDO:0010155","Autosomal recessive inheritance","","","","","definitive evidence (08/02/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_19bf65b3-0c75-46e2-8796-5664ce6dd371-2022-08-02T160000.000Z","Lysosomal Diseases GCEP","","",""
"ACAD8","HGNC:87","https://search.clinicalgenome.org/kb/genes/HGNC:87","isobutyryl-CoA dehydrogenase deficiency","MONDO:0012648","https://search.clinicalgenome.org/kb/conditions/MONDO:0012648","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (12/11/2014)","0 - No Evidence for Triplosensitivity (12/11/2014)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:87","Dosage Working Group","definitive evidence (04/26/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0d260f0e-df71-420a-9281-92e4bddcddbb-2019-04-26T160000.000Z","Aminoacidopathy","","",""
"ACAD9","HGNC:21497","https://search.clinicalgenome.org/kb/genes/HGNC:21497","acyl-CoA dehydrogenase 9 deficiency","MONDO:0012624","https://search.clinicalgenome.org/kb/conditions/MONDO:0012624","Autosomal recessive inheritance","","","","","definitive evidence (03/27/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5fad1866-75ce-470f-984c-e64bb7e11168-2018-03-27T160000.000Z","Fatty Acid Oxidation Disorders","","",""
"ACADL","HGNC:88","https://search.clinicalgenome.org/kb/genes/HGNC:88","long chain acyl-CoA dehydrogenase deficiency","MONDO:0020531","https://search.clinicalgenome.org/kb/conditions/MONDO:0020531","Autosomal recessive inheritance","","","","","disputing (04/25/2024)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d95637bf-c628-4d23-a0d5-656db55a09a4-2024-04-25T160000.000Z","Fatty Acid Oxidation Disorders","","",""
"ACADM","HGNC:89","https://search.clinicalgenome.org/kb/genes/HGNC:89","medium chain acyl-CoA dehydrogenase deficiency","MONDO:0008721","https://search.clinicalgenome.org/kb/conditions/MONDO:0008721","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Triplosensitivity (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:89","Dosage Working Group","definitive evidence (01/23/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fb987774-0e5b-4466-924f-6f19fccc6599-2018-01-23T170000.000Z","Fatty Acid Oxidation Disorders","Strong Actionability (08/03/2020) | Strong Actionability (08/03/2020)","https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC1016 | https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC1016","Pediatric Actionability Working Group | Adult Actionability Working Group"
"ACADS","HGNC:90","https://search.clinicalgenome.org/kb/genes/HGNC:90","short chain acyl-CoA dehydrogenase deficiency","MONDO:0008722","https://search.clinicalgenome.org/kb/conditions/MONDO:0008722","Autosomal recessive inheritance","","","","","definitive evidence (01/23/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c6bc94e9-cdf2-4efb-b654-004541efc344-2018-01-23T170000.000Z","Fatty Acid Oxidation Disorders","","",""
"ACADSB","HGNC:91","https://search.clinicalgenome.org/kb/genes/HGNC:91","2-methylbutyryl-CoA dehydrogenase deficiency","MONDO:0012392","https://search.clinicalgenome.org/kb/conditions/MONDO:0012392","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:91","Dosage Working Group","definitive evidence (03/22/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8bfa3857-c96c-40ac-b4c1-2cf04fd4eb4f-2019-03-22T160000.000Z","Aminoacidopathy","","",""
"ACADVL","HGNC:92","https://search.clinicalgenome.org/kb/genes/HGNC:92","very long chain acyl-CoA dehydrogenase deficiency","MONDO:0008723","https://search.clinicalgenome.org/kb/conditions/MONDO:0008723","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (09/26/2025)","0 - No Evidence for Triplosensitivity (09/26/2025)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:92","Dosage Working Group","definitive evidence (02/20/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_130ca053-9f40-4fd5-b89c-b9b374694fda-2018-02-20T170000.000Z","Fatty Acid Oxidation Disorders","Limited Actionability (03/08/2025) | Moderate Actionability (03/08/2025)","https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC126 | https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC126","Adult Actionability Working Group | Pediatric Actionability Working Group"
"ACAN","HGNC:319","https://search.clinicalgenome.org/kb/genes/HGNC:319","ACAN-related short stature spectrum","MONDO:1060149","https://search.clinicalgenome.org/kb/conditions/MONDO:1060149","Autosomal dominant inheritance","","","","","definitive evidence (05/07/2025)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fbf745d3-628c-4b90-aaa6-a0e28dd7bae1-2025-05-07T160000.000Z","Skeletal Disorders","","",""
"ACAT1","HGNC:93","https://search.clinicalgenome.org/kb/genes/HGNC:93","beta-ketothiolase deficiency","MONDO:0008760","https://search.clinicalgenome.org/kb/conditions/MONDO:0008760","Autosomal recessive inheritance","","","","","definitive evidence (05/22/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_99bcab0a-de59-479d-8fe6-8b76cbce90ee-2018-05-22T160000.000Z","Fatty Acid Oxidation Disorders","","",""
"ACAT2","HGNC:94","https://search.clinicalgenome.org/kb/genes/HGNC:94","acetyl-CoA acetyltransferase-2 deficiency","MONDO:0013548","https://search.clinicalgenome.org/kb/conditions/MONDO:0013548","Mode of inheritance","","","","","no known disease relationship (01/25/2021)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7cb46678-6e33-4d34-86ba-fdf59e59fb80-2021-01-25T194853.212Z","Fatty Acid Oxidation Disorders","","",""
"ACBD5","HGNC:23338","https://search.clinicalgenome.org/kb/genes/HGNC:23338","acyl-CoA binding domain containing protein 5 deficiency","MONDO:0100112","https://search.clinicalgenome.org/kb/conditions/MONDO:0100112","Autosomal recessive inheritance","","","","","definitive evidence (06/21/2024)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8ac052f6-de8d-4c14-adf2-bbecb624defd-2024-06-21T160000.000Z","Peroxisomal Disorders","","",""
"ACD","HGNC:25070","https://search.clinicalgenome.org/kb/genes/HGNC:25070","ACD-related short telomere syndrome","MONDO:0100569","https://search.clinicalgenome.org/kb/conditions/MONDO:0100569","Semidominant inheritance","0 - No Evidence for Haploinsufficiency (04/24/2025)","0 - No Evidence for Triplosensitivity (04/24/2025)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:25070","Dosage Working Group","definitive evidence (02/20/2024)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c29b6517-54ab-414e-a3ab-e5aa006e0d54-2024-02-20T170000.000Z","Interstitial Lung Disease","","",""
"ACE","HGNC:2707","https://search.clinicalgenome.org/kb/genes/HGNC:2707","renal tubular dysgenesis - ACE","MONDO:0700337","https://search.clinicalgenome.org/kb/conditions/MONDO:0700337","Autosomal recessive inheritance","","","","","definitive evidence (12/11/2024)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_14a5efd4-d71f-40b1-91ff-90f7f8d63ec7-2024-12-11T170000.000Z","Prenatal","","",""
"ACO2","HGNC:118","https://search.clinicalgenome.org/kb/genes/HGNC:118","mitochondrial disease","MONDO:0044970","https://search.clinicalgenome.org/kb/conditions/MONDO:0044970","Autosomal recessive inheritance | Autosomal dominant inheritance","","","","","definitive evidence (10/19/2023) | strong evidence (10/19/2023)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5892fec8-dc8b-467b-abba-fb6be142bb7a-2023-10-19T040000.000Z | https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2bca6e9c-e167-4862-bf45-3ec787b92f49-2023-10-19T040000.000Z","Mitochondrial Diseases | Mitochondrial Diseases","","",""
"ACO2","HGNC:118","https://search.clinicalgenome.org/kb/genes/HGNC:118","optic atrophy 9","MONDO:0014571","https://search.clinicalgenome.org/kb/conditions/MONDO:0014571","Semidominant inheritance","","","","","definitive evidence (04/05/2024)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_236ff728-58f0-4f71-8575-8dd8546c8fba-2024-04-05T190000.000Z","Glaucoma and Neuro-Ophthalmology","","",""
"ACOX1","HGNC:119","https://search.clinicalgenome.org/kb/genes/HGNC:119","peroxisomal acyl-CoA oxidase deficiency","MONDO:0009919","https://search.clinicalgenome.org/kb/conditions/MONDO:0009919","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (11/20/2014)","0 - No Evidence for Triplosensitivity (11/20/2014)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:119","Dosage Working Group","definitive evidence (11/04/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_96026ae4-050d-4eb5-849c-178c703a556e-2022-11-04T160000.000Z","Peroxisomal Disorders","","",""
